post_id,url,video_id,transcript,language,status
222974131762,https://www.youtube.com/embed/1XKdiyRHK0w?feature=oembed,1XKdiyRHK0w,,,error: type object 'YouTubeTranscriptApi' has no attribut
222917851309,https://www.youtube.com/embed/IXCt2mTpPxE?feature=oembed,IXCt2mTpPxE,,,error: type object 'YouTubeTranscriptApi' has no attribut
223443540064,https://www.youtube.com/embed/5vG6aTrtbQY?feature=oembed,5vG6aTrtbQY,,,error: type object 'YouTubeTranscriptApi' has no attribut
224064686473,https://www.youtube.com/embed/cVsAi4lVhMc?start=41&feature=oembed,cVsAi4lVhMc,,,error: type object 'YouTubeTranscriptApi' has no attribut
223533549169,https://www.youtube.com/embed/md8CYQ9MD1s?feature=oembed,md8CYQ9MD1s,,,error: type object 'YouTubeTranscriptApi' has no attribut
223126416558,https://www.youtube.com/embed/cBrDws_8vWY?feature=oembed,cBrDws_8vWY,,,error: type object 'YouTubeTranscriptApi' has no attribut
223126416558,https://www.youtube.com/embed/hUDI0vMTgCw?feature=oembed,hUDI0vMTgCw,,,error: type object 'YouTubeTranscriptApi' has no attribut
223126416558,https://www.youtube.com/embed/hj7iNDBh-_s?feature=oembed,hj7iNDBh-_s,,,error: type object 'YouTubeTranscriptApi' has no attribut
223126416558,https://www.youtube.com/embed/9iAMaMAb22w?feature=oembed,9iAMaMAb22w,,,error: type object 'YouTubeTranscriptApi' has no attribut
223195136119,https://www.youtube.com/embed/hUDI0vMTgCw?feature=oembed,hUDI0vMTgCw,,,error: type object 'YouTubeTranscriptApi' has no attribut
223195136119,https://www.youtube.com/embed/hj7iNDBh-_s?feature=oembed,hj7iNDBh-_s,,,error: type object 'YouTubeTranscriptApi' has no attribut
223195136119,https://www.youtube.com/embed/9iAMaMAb22w?feature=oembed,9iAMaMAb22w,,,error: type object 'YouTubeTranscriptApi' has no attribut
223166041728,https://www.youtube.com/embed/JytVY68aRwo?feature=oembed,JytVY68aRwo,,,error: type object 'YouTubeTranscriptApi' has no attribut
222962278873,https://www.youtube.com/embed/7G5rmWxM7Z4?feature=oembed,7G5rmWxM7Z4,,,error: type object 'YouTubeTranscriptApi' has no attribut
223243260123,https://www.youtube.com/embed/P2fgr8ufxdY?feature=oembed,P2fgr8ufxdY,,,error: type object 'YouTubeTranscriptApi' has no attribut
